Starting Animation ...
Scene: 0
Starting ...
Color management: using fallback mode for management
Fra:1 Mem:10.33M (9.89M, Peak 20.22M) | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | Camera
Fra:1 Mem:10.33M (9.89M, Peak 22.01M) | Mem:4.39M, Peak:4.39M | Scene, RenderLayer | Path Tracing Tile 29/135
Fra:1 Mem:10.33M (9.89M, Peak 22.01M) | Mem:4.39M, Peak:4.39M | Scene, RenderLayer | Path Tracing Tile 30/135
Fra:1 Mem:10.33M (9.89M, Peak 22.01M) | Mem:4.39M, Peak:4.39M | Scene, RenderLayer | Path Tracing Tile 31/135
Fra:1 Mem:10.33M (9.89M, Peak 22.01M) | Mem:4.39M, Peak:4.39M | Scene, RenderLayer | Path Tracing Tile 32/135
Fra:1 Mem:10.33M (9.89M, Peak 22.01M) | Mem:4.39M, Peak:4.39M | Scene, RenderLayer | Path Tracing Tile 33/135
Fra:1 Mem:10.33M (9.89M, Peak 22.01M) | Mem:4.39M, Peak:4.39M | Scene, RenderLayer | Path Tracing Tile 34/135
Fra:1 Mem:10.33M (9.89M, Peak 22.01M) | Mem:4.39M, Peak:4.39M | Scene, RenderLayer | Path Tracing Tile 35/135
Fra:1 Mem:10.33M (9.89M, Peak 22.01M) | Mem:4.39M, Peak:4.39M | Scene, RenderLayer | Path Tracing Tile 36/135
Fra:1 Mem:10.33M (9.89M, Peak 22.01M) | Mem:4.39M, Peak:4.39M | Scene, RenderLayer | Path Tracing Tile 37/135
Fra:1 Mem:10.33M (9.89M, Peak 22.01M) | Mem:4.39M, Peak:4.39M | Scene, RenderLayer | Path Tracing Tile 38/135
Fra:1 Mem:10.33M (9.89M, Peak 22.01M) | Mem:4.39M, Peak:4.39M | Scene, RenderLayer | Path Tracing Tile 39/135
Fra:1 Mem:10.33M (9.89M, Peak 22.01M) | Mem:4.39M, Peak:4.39M | Scene, RenderLayer | Path Tracing Tile 40/135
Fra:1 Mem:10.33M (9.89M, Peak 22.01M) | Mem:4.39M, Peak:4.39M | Scene, RenderLayer | Path Tracing Tile 41/135
Fra:1 Mem:10.33M (9.89M, Peak 22.01M) | Mem:4.39M, Peak:4.39M | Scene, RenderLayer | Path Tracing Tile 42/135
Fra:1 Mem:10.33M (9.89M, Peak 22.01M) | Mem:4.39M, Peak:4.39M | Scene, RenderLayer | Path Tracing Tile 43/135
Fra:1 Mem:10.33M (9.89M, Peak 22.01M) | Mem:4.39M, Peak:4.39M | Scene, RenderLayer | Path Tracing Tile 44/135
Fra:1 Mem:10.33M (9.89M, Peak 22.01M) | Mem:4.39M, Peak:4.39M | Scene, RenderLayer | Path Tracing Tile 45/135
Fra:1 Mem:10.33M (9.89M, Peak 22.01M) | Mem:4.39M, Peak:4.39M | Scene, RenderLayer | Path Tracing Tile 46/135
Fra:1 Mem:10.33M (9.89M, Peak 22.01M) | Mem:4.39M, Peak:4.39M | Scene, RenderLayer | Path Tracing Tile 47/135
Fra:1 Mem:10.33M (9.89M, Peak 22.01M) | Mem:4.25M, Peak:4.39M | Scene, RenderLayer | Path Tracing Tile 48/135
Fra:1 Mem:10.33M (9.89M, Peak 22.01M) | Mem:4.39M, Peak:4.39M | Scene, RenderLayer | Path Tracing Tile 49/135
Fra:1 Mem:10.33M (9.89M, Peak 22.01M) | Mem:4.39M, Peak:4.39M | Scene, RenderLayer | Path Tracing Tile 50/135
Fra:1 Mem:10.33M (9.89M, Peak 22.01M) | Mem:4.39M, Peak:4.39M | Scene, RenderLayer | Path Tracing Tile 51/135
Fra:1 Mem:10.33M (9.89M, Peak 22.01M) | Mem:4.39M, Peak:4.39M | Scene, RenderLayer | Path Tracing Tile 52/135
Fra:1 Mem:10.33M (9.89M, Peak 22.01M) | Mem:4.39M, Peak:4.39M | Scene, RenderLayer | Path Tracing Tile 53/135
Fra:1 Mem:10.33M (9.89M, Peak 22.01M) | Mem:4.39M, Peak:4.39M | Scene, RenderLayer | Path Tracing Tile 54/135
Fra:1 Mem:10.33M (9.89M, Peak 22.01M) | Mem:4.39M, Peak:4.39M | Scene, RenderLayer | Path Tracing Tile 55/135
Fra:1 Mem:10.33M (9.89M, Peak 22.01M) | Mem:4.39M, Peak:4.39M | Scene, RenderLayer | Path Tracing Tile 56/135
Fra:1 Mem:10.33M (9.89M, Peak 22.01M) | Mem:4.31M, Peak:4.39M | Scene, RenderLayer | Path Tracing Tile 57/135
Fra:1 Mem:10.33M (9.89M, Peak 22.01M) | Mem:4.31M, Peak:4.39M | Scene, RenderLayer | Path Tracing Tile 58/135
Fra:1 Mem:10.33M (9.89M, Peak 22.01M) | Mem:4.31M, Peak:4.39M | Scene, RenderLayer | Path Tracing Tile 59/135
Fra:1 Mem:10.33M (9.89M, Peak 22.01M) | Mem:4.39M, Peak:4.39M | Scene, RenderLayer | Path Tracing Tile 60/135
Fra:1 Mem:10.33M (9.89M, Peak 22.01M) | Mem:4.31M, Peak:4.39M | Scene, RenderLayer | Path Tracing Tile 61/135
Fra:1 Mem:10.33M (9.89M, Peak 22.01M) | Mem:4.31M, Peak:4.39M | Scene, RenderLayer | Path Tracing Tile 62/135
Fra:1 Mem:10.33M (9.89M, Peak 22.01M) | Mem:4.31M, Peak:4.39M | Scene, RenderLayer | Path Tracing Tile 63/135
Fra:1 Mem:10.33M (9.89M, Peak 22.01M) | Mem:4.25M, Peak:4.39M | Scene, RenderLayer | Path Tracing Tile 64/135
Fra:1 Mem:10.33M (9.89M, Peak 22.01M) | Mem:4.39M, Peak:4.39M | Scene, RenderLayer | Path Tracing Tile 65/135
Fra:1 Mem:10.33M (9.89M, Peak 22.01M) | Mem:4.39M, Peak:4.39M | Scene, RenderLayer | Path Tracing Tile 66/135
Fra:1 Mem:10.33M (9.89M, Peak 22.01M) | Mem:4.39M, Peak:4.39M | Scene, RenderLayer | Path Tracing Tile 67/135
Fra:1 Mem:10.33M (9.89M, Peak 22.01M) | Mem:4.39M, Peak:4.39M | Scene, RenderLayer | Path Tracing Tile 68/135
Fra:1 Mem:10.33M (9.89M, Peak 22.01M) | Mem:4.39M, Peak:4.39M | Scene, RenderLayer | Path Tracing Tile 69/135
Fra:1 Mem:10.33M (9.89M, Peak 22.01M) | Mem:4.39M, Peak:4.39M | Scene, RenderLayer | Path Tracing Tile 70/135
Fra:1 Mem:10.33M (9.89M, Peak 22.01M) | Mem:4.39M, Peak:4.39M | Scene, RenderLayer | Path Tracing Tile 71/135
Fra:1 Mem:10.33M (9.89M, Peak 22.01M) | Mem:4.39M, Peak:4.39M | Scene, RenderLayer | Path Tracing Tile 72/135
Fra:1 Mem:10.33M (9.89M, Peak 22.01M) | Mem:4.39M, Peak:4.39M | Scene, RenderLayer | Path Tracing Tile 73/135
Fra:1 Mem:10.33M (9.89M, Peak 22.01M) | Mem:4.39M, Peak:4.39M | Scene, RenderLayer | Path Tracing Tile 74/135
Fra:1 Mem:10.33M (9.89M, Peak 22.01M) | Mem:4.31M, Peak:4.39M | Scene, RenderLayer | Path Tracing Tile 75/135
Fra:1 Mem:10.33M (9.89M, Peak 22.01M) | Mem:4.23M, Peak:4.39M | Scene, RenderLayer | Path Tracing Tile 76/135
Fra:1 Mem:10.33M (9.89M, Peak 22.01M) | Mem:4.31M, Peak:4.39M | Scene, RenderLayer | Path Tracing Tile 77/135
Fra:1 Mem:10.33M (9.89M, Peak 22.01M) | Mem:4.31M, Peak:4.39M | Scene, RenderLayer | Path Tracing Tile 78/135
Fra:1 Mem:10.33M (9.89M, Peak 22.01M) | Mem:4.39M, Peak:4.39M | Scene, RenderLayer | Path Tracing Tile 79/135
Fra:1 Mem:10.33M (9.89M, Peak 22.01M) | Mem:4.39M, Peak:4.39M | Scene, RenderLayer | Path Tracing Tile 80/135
Fra:1 Mem:10.33M (9.89M, Peak 22.01M) | Mem:4.39M, Peak:4.39M | Scene, RenderLayer | Path Tracing Tile 81/135
Fra:1 Mem:10.33M (9.89M, Peak 22.01M) | Mem:4.39M, Peak:4.39M | Scene, RenderLayer | Path Tracing Tile 82/135
Fra:1 Mem:10.33M (9.89M, Peak 22.01M) | Mem:4.31M, Peak:4.39M | Scene, RenderLayer | Path Tracing Tile 83/135
Fra:1 Mem:10.33M (9.89M, Peak 22.01M) | Mem:4.23M, Peak:4.39M | Scene, RenderLayer | Path Tracing Tile 84/135
Fra:1 Mem:10.33M (9.89M, Peak 22.01M) | Mem:4.23M, Peak:4.39M | Scene, RenderLayer | Path Tracing Tile 85/135
Fra:1 Mem:10.33M (9.89M, Peak 22.01M) | Mem:4.23M, Peak:4.39M | Scene, RenderLayer | Path Tracing Tile 86/135
Fra:1 Mem:10.33M (9.89M, Peak 22.01M) | Mem:4.31M, Peak:4.39M | Scene, RenderLayer | Path Tracing Tile 87/135
Fra:1 Mem:10.33M (9.89M, Peak 22.01M) | Mem:4.39M, Peak:4.39M | Scene, RenderLayer | Path Tracing Tile 88/135
Fra:1 Mem:10.33M (9.89M, Peak 22.01M) | Mem:4.39M, Peak:4.39M | Scene, RenderLayer | Path Tracing Tile 89/135
Fra:1 Mem:10.33M (9.89M, Peak 22.01M) | Mem:4.39M, Peak:4.39M | Scene, RenderLayer | Path Tracing Tile 90/135
Fra:1 Mem:10.33M (9.89M, Peak 22.01M) | Mem:4.39M, Peak:4.39M | Scene, RenderLayer | Path Tracing Tile 91/135
Fra:1 Mem:10.33M (9.89M, Peak 22.01M) | Mem:4.39M, Peak:4.39M | Scene, RenderLayer | Path Tracing Tile 92/135
Fra:1 Mem:10.33M (9.89M, Peak 22.01M) | Mem:4.39M, Peak:4.39M | Scene, RenderLayer | Path Tracing Tile 93/135
Fra:1 Mem:10.33M (9.89M, Peak 22.01M) | Mem:4.39M, Peak:4.39M | Scene, RenderLayer | Path Tracing Tile 94/135
Fra:1 Mem:10.33M (9.89M, Peak 22.01M) | Mem:4.39M, Peak:4.39M | Scene, RenderLayer | Path Tracing Tile 95/135
Fra:1 Mem:10.33M (9.89M, Peak 22.01M) | Mem:4.39M, Peak:4.39M | Scene, RenderLayer | Path Tracing Tile 96/135
Fra:1 Mem:10.33M (9.89M, Peak 22.01M) | Mem:4.39M, Peak:4.39M | Scene, RenderLayer | Path Tracing Tile 97/135
Fra:1 Mem:10.33M (9.89M, Peak 22.01M) | Mem:4.39M, Peak:4.39M | Scene, RenderLayer | Path Tracing Tile 98/135
Fra:1 Mem:10.33M (9.89M, Peak 22.01M) | Mem:4.39M, Peak:4.39M | Scene, RenderLayer | Path Tracing Tile 99/135
Fra:1 Mem:10.33M (9.89M, Peak 22.01M) | Mem:4.39M, Peak:4.39M | Scene, RenderLayer | Path Tracing Tile 100/135
Fra:1 Mem:10.33M (9.89M, Peak 22.01M) | Mem:4.31M, Peak:4.39M | Scene, RenderLayer | Path Tracing Tile 101/135
Fra:1 Mem:10.33M (9.89M, Peak 22.01M) | Mem:4.23M, Peak:4.39M | Scene, RenderLayer | Path Tracing Tile 102/135
Fra:1 Mem:10.33M (9.89M, Peak 22.01M) | Mem:4.23M, Peak:4.39M | Scene, RenderLayer | Path Tracing Tile 103/135
Fra:1 Mem:10.33M (9.89M, Peak 22.01M) | Mem:4.31M, Peak:4.39M | Scene, RenderLayer | Path Tracing Tile 104/135
Fra:1 Mem:10.33M (9.89M, Peak 22.01M) | Mem:4.39M, Peak:4.39M | Scene, RenderLayer | Path Tracing Tile 105/135
Fra:1 Mem:10.33M (9.89M, Peak 22.01M) | Mem:4.39M, Peak:4.39M | Scene, RenderLayer | Path Tracing Tile 106/135
Fra:1 Mem:10.33M (9.89M, Peak 22.01M) | Mem:4.39M, Peak:4.39M | Scene, RenderLayer | Path Tracing Tile 107/135
Fra:1 Mem:10.33M (9.89M, Peak 22.01M) | Mem:4.39M, Peak:4.39M | Scene, RenderLayer | Path Tracing Tile 108/135
Fra:1 Mem:10.33M (9.89M, Peak 22.01M) | Mem:4.39M, Peak:4.39M | Scene, RenderLayer | Path Tracing Tile 109/135
Fra:1 Mem:10.33M (9.89M, Peak 22.01M) | Mem:4.39M, Peak:4.39M | Scene, RenderLayer | Path Tracing Tile 110/135
Fra:1 Mem:10.33M (9.89M, Peak 22.01M) | Mem:4.39M, Peak:4.39M | Scene, RenderLayer | Path Tracing Tile 111/135
Fra:1 Mem:10.33M (9.89M, Peak 22.01M) | Mem:4.39M, Peak:4.39M | Scene, RenderLayer | Path Tracing Tile 112/135
Fra:1 Mem:10.33M (9.89M, Peak 22.01M) | Mem:4.39M, Peak:4.39M | Scene, RenderLayer | Path Tracing Tile 113/135
Fra:1 Mem:10.33M (9.89M, Peak 22.01M) | Mem:4.39M, Peak:4.39M | Scene, RenderLayer | Path Tracing Tile 114/135
Fra:1 Mem:10.33M (9.89M, Peak 22.01M) | Mem:4.39M, Peak:4.39M | Scene, RenderLayer | Path Tracing Tile 115/135
Fra:1 Mem:10.33M (9.89M, Peak 22.01M) | Mem:4.39M, Peak:4.39M | Scene, RenderLayer | Path Tracing Tile 116/135
Fra:1 Mem:10.33M (9.89M, Peak 22.01M) | Mem:4.31M, Peak:4.39M | Scene, RenderLayer | Path Tracing Tile 117/135
Fra:1 Mem:10.33M (9.89M, Peak 22.01M) | Mem:4.23M, Peak:4.39M | Scene, RenderLayer | Path Tracing Tile 118/135
Fra:1 Mem:10.33M (9.89M, Peak 22.01M) | Mem:4.23M, Peak:4.39M | Scene, RenderLayer | Path Tracing Tile 119/135
Fra:1 Mem:10.33M (9.89M, Peak 22.01M) | Mem:4.31M, Peak:4.39M | Scene, RenderLayer | Path Tracing Tile 120/135
Fra:1 Mem:10.33M (9.89M, Peak 22.01M) | Mem:4.31M, Peak:4.39M | Scene, RenderLayer | Path Tracing Tile 121/135
Fra:1 Mem:10.33M (9.89M, Peak 22.01M) | Mem:4.39M, Peak:4.39M | Scene, RenderLayer | Path Tracing Tile 122/135
Fra:1 Mem:10.33M (9.89M, Peak 22.01M) | Mem:4.39M, Peak:4.39M | Scene, RenderLayer | Path Tracing Tile 123/135
Fra:1 Mem:10.33M (9.89M, Peak 22.01M) | Mem:4.39M, Peak:4.39M | Scene, RenderLayer | Path Tracing Tile 124/135
Fra:1 Mem:10.33M (9.89M, Peak 22.01M) | Mem:4.39M, Peak:4.39M | Scene, RenderLayer | Path Tracing Tile 125/135
Fra:1 Mem:10.33M (9.89M, Peak 22.01M) | Mem:4.39M, Peak:4.39M | Scene, RenderLayer | Path Tracing Tile 126/135
Fra:1 Mem:10.33M (9.89M, Peak 22.01M) | Mem:4.39M, Peak:4.39M | Scene, RenderLayer | Path Tracing Tile 127/135
Fra:1 Mem:10.33M (9.89M, Peak 22.01M) | Mem:4.39M, Peak:4.39M | Scene, RenderLayer | Path Tracing Tile 128/135
Fra:1 Mem:10.33M (9.89M, Peak 22.01M) | Mem:4.31M, Peak:4.39M | Scene, RenderLayer | Path Tracing Tile 129/135
Fra:1 Mem:10.33M (9.89M, Peak 22.01M) | Mem:4.23M, Peak:4.39M | Scene, RenderLayer | Path Tracing Tile 130/135
Fra:1 Mem:10.33M (9.89M, Peak 22.01M) | Mem:4.31M, Peak:4.39M | Scene, RenderLayer | Path Tracing Tile 131/135
Fra:1 Mem:10.33M (9.89M, Peak 22.01M) | Mem:4.31M, Peak:4.39M | Scene, RenderLayer | Path Tracing Tile 132/135
Fra:1 Mem:10.33M (9.89M, Peak 22.01M) | Mem:4.39M, Peak:4.39M | Scene, RenderLayer | Path Tracing Tile 133/135
Fra:1 Mem:10.33M (9.89M, Peak 22.01M) | Mem:4.39M, Peak:4.39M | Scene, RenderLayer | Path Tracing Tile 134/135
Fra:1 Mem:10.33M (9.89M, Peak 22.01M) | Mem:4.31M, Peak:4.39M | Scene, RenderLayer | Path Tracing Tile 135/135
Fra:1 Mem:10.33M (9.89M, Peak 22.01M) | Mem:3.26M, Peak:4.39M | Scene, RenderLayer | Finished
Fra:1 Mem:10.31M (9.89M, Peak 22.01M) Sce: Scene Ve:0 Fa:0 La:0
Saved: blendedFiles/elbow3D/0000.png Time: 00:12.68 (Saving: 00:00.79)

read blend: /home/ubuntu/alvaro/blender/sceneOptions.txt
Error: Failed to read blend file '/home/ubuntu/alvaro/blender/sceneOptions.txt', not a blend file
Deleting the following default objects:
CAMERA
MESH
LAMP
Render x3dFiles/elbow3D/0_body.x3d


Imported items:

Object 1
Type: MESH
Previous default name: ShapeIndexedFaceSet
Current default name: Mesh1
Object 2
Type: LAMP
Deleted: TODO
Object 2
Type: LAMP
Deleted: TODO.001
Object 2
Type: LAMP
Deleted: TODO.002
Object 2
Type: LAMP
Deleted: TODO.003
Object 2
Type: LAMP
Deleted: TODO.004
Object 2
Type: CAMERA
Deleted: Viewpoint
Mesh1 ---> Material: glass
Render x3dFiles/elbow3D/0_solo.x3d


Imported items:

Object 2
Type: MESH
Previous default name: ShapeIndexedFaceSet
Current default name: Mesh2
Object 3
Type: LAMP
Deleted: TODO
Object 3
Type: LAMP
Deleted: TODO.001
Object 3
Type: LAMP
Deleted: TODO.002
Object 3
Type: LAMP
Deleted: TODO.003
Object 3
Type: LAMP
Deleted: TODO.004
Object 3
Type: CAMERA
Deleted: Viewpoint
Mesh2 ---> Material: water

Blender quit
Completed ...
----------------------
Scene: 1
Starting ...
Color management: using fallback mode for management
Fra:1 Mem:10.33M (9.89M, Peak 20.22M) | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | Camera
Fra:1 Mem:10.33M (9.89M, Peak 20.22M) | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | Light
Fra:1 Mem:10.33M (9.89M, Peak 20.22M) | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | Ground
Fra:1 Mem:10.33M (9.89M, Peak 20.22M) | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | Mesh2
Fra:1 Mem:10.33M (9.89M, Peak 22.01M) | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | Mesh1
Fra:1 Mem:10.33M (9.89M, Peak 22.01M) | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Initializing
Fra:1 Mem:10.33M (9.89M, Peak 22.01M) | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Loading render kernels (may take a few minutes the first time)
Fra:1 Mem:10.33M (9.89M, Peak 22.01M) | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Waiting for render to start
Fra:1 Mem:10.33M (9.89M, Peak 22.01M) | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Updating Scene
Fra:1 Mem:10.33M (9.89M, Peak 22.01M) | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Updating Background
Fra:1 Mem:10.33M (9.89M, Peak 22.01M) | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Updating Shaders
Fra:1 Mem:10.33M (9.89M, Peak 22.01M) | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Updating Images
Fra:1 Mem:10.33M (9.89M, Peak 22.01M) | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Updating Camera
